[2015-03-01 20:09:09.977]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17236.15 eps
[2015-03-01 20:09:09.984]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 197804.19 eps
[2015-03-01 20:09:10.377]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17677.55 eps
[2015-03-01 20:09:10.414]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 191950.64 eps
[2015-03-01 20:09:10.488]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17108.3 eps
[2015-03-01 20:09:10.494]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 192264.92 eps
[2015-03-01 20:09:10.901]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17099.16 eps
[2015-03-01 20:09:10.938]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 187496.52 eps
[2015-03-01 20:09:11.010]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17582.02 eps
[2015-03-01 20:09:11.017]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 192563.59 eps
[2015-03-01 20:09:11.410]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17685.79 eps
[2015-03-01 20:09:11.447]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 187434.88 eps
[2015-03-01 20:09:11.519]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17720 eps
[2015-03-01 20:09:11.526]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 194040.89 eps
[2015-03-01 20:09:11.915]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17835.98 eps
[2015-03-01 20:09:11.953]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 186658.61 eps
[2015-03-01 20:09:12.022]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 18145.46 eps
[2015-03-01 20:09:12.029]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 189663.81 eps
[2015-03-01 20:09:12.423]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 17655.03 eps
[2015-03-01 20:09:12.459]  INFO [pool-1-thread-1] (ProcessStreamReceiver.java:146) - <sensorStream> 1000 Events Throughput : 192411.89 eps
